row_id,cgid,label,description
2228,89840,RO,Medical Staff
2229,93227,RO,Medical Staff
2230,32431,Res,Medical Staff
2231,80010,RO,Medical Staff
2232,42087,RT,Medical Staff
2233,31417,Res,Medical Staff
2234,70589,Rehab,Medical Staff
2235,59735,MD,Medical Staff
2236,45382,CM,Medical Staff
2237,93886,Rehab,Medical Staff
2238,83000,RN,Medical Staff
2239,38785,MD,Medical Staff
2240,99733,RN,Medical Staff
2241,52504,RN,Medical Staff
2242,17331,SW,Medical Staff
2243,40021,RO,Medical Staff
2244,14207,RO,Medical Staff
2245,51347,MD,Medical Staff
2246,62581,RO,Medical Staff
2247,45093,Res,Medical Staff
2248,18675,Res,Medical Staff
2249,37653,RO,Medical Staff
2250,84341,RPH,Medical Staff
2251,51245,CM,Medical Staff
2252,37869,MDs,Medical Staff
2253,95909,MD,Medical Staff
2254,75435,RN,Medical Staff
2255,61856,Res,Medical Staff
2256,94259,NP,Medical Staff
2257,70142,RO,Medical Staff
2258,28726,Res,Medical Staff
2259,44718,RO,Medical Staff
2260,28301,MD,Medical Staff
2261,42325,MD,Medical Staff
2262,83579,MD,Medical Staff
2263,80644,Res,Medical Staff
2264,44438,RO,Medical Staff
2265,86622,RPh,Medical Staff
2266,66155,RO,Medical Staff
2267,86484,Rehab,Medical Staff
2268,62350,Res,Medical Staff
2269,57447,MD,Medical Staff
2270,38746,Res,Medical Staff
2271,28131,CM,Medical Staff
2272,76784,SRT,Medical Staff
2273,74686,Res,Medical Staff
2274,21915,MD,Medical Staff
2275,16175,RO,Medical Staff
2276,24371,Res,Medical Staff
2277,30033,RD,Medical Staff
2278,92240,PCT,Medical Staff
2279,30969,MD,Medical Staff
2280,99192,Res,Medical Staff
2281,65333,RD,Medical Staff
2282,88172,Res,Medical Staff
2283,18326,RN,Medical Staff
2284,60432,MD,Medical Staff
2285,60019,RO,Medical Staff
2286,88104,RO,Medical Staff
2287,71348,CM,Medical Staff
2288,79352,RN,Medical Staff
2289,42953,MD,Medical Staff
2290,82512,CoWork,Medical Staff
2291,11504,MD,Medical Staff
2292,99166,Res,Medical Staff
2293,25014,Res,Medical Staff
2294,99353,Admin,Medical Staff
2295,80381,Res,Medical Staff
2296,44973,RO,Medical Staff
2297,94012,Res,Medical Staff
2298,54587,RO,Medical Staff
2299,24621,Res,Medical Staff
2300,48469,RN,Medical Staff
2301,66985,Res,Medical Staff
2302,30730,PCT,Medical Staff
2303,69470,CoWker,Medical Staff
2304,10425,MD,Medical Staff
2305,44522,Res,Medical Staff
2306,75612,UCO,Medical Staff
2307,33416,MD,Medical Staff
2308,76542,PC,Medical Staff
2309,23947,RO,Medical Staff
2310,91959,Rehab,Medical Staff
2311,49117,MD,Medical Staff
2312,93748,Res,Medical Staff
2313,76540,Res,Medical Staff
2314,89818,Res,Medical Staff
2315,36071,RO,Medical Staff
2316,30032,Res,Medical Staff
2317,59009,Res,Medical Staff
2318,31174,RN,Medical Staff
2319,80697,RO,Medical Staff
2320,79514,RPH,Medical Staff
2321,10074,CM,Medical Staff
2322,88504,co-wor,Medical Staff
2323,52487,Res,Medical Staff
2324,74042,Res,Medical Staff
2325,12552,Res,Medical Staff
2326,24662,Res,Medical Staff
2327,57576,RN,Medical Staff
2328,50306,RRT,Medical Staff
2329,41385,RO,Medical Staff
2330,17592,MD,Medical Staff
2331,41571,MD,Medical Staff
2332,84364,MD,Medical Staff
2333,20322,MD,Medical Staff
2334,21226,MDs,Medical Staff
2335,73699,MDs,Medical Staff
2336,19071,Res,Medical Staff
2337,79822,Res,Medical Staff
2338,26483,RN,Medical Staff
2339,26828,SW,Medical Staff
2340,96474,MS,Medical Staff
2341,72296,MDs,Medical Staff
2342,82063,RN,Medical Staff
2343,31643,Res,Medical Staff
2344,44741,RO,Medical Staff
2345,79163,RO,Medical Staff
2346,89507,RO,Medical Staff
2347,65461,MD,Medical Staff
2348,37760,RN,Medical Staff
2349,80686,Rehab,Medical Staff
2350,36365,RO,Medical Staff
2351,50857,RTH,Medical Staff
2352,62296,RO,Medical Staff
891,98039,RN,Medical Staff
892,95180,MD,Medical Staff
893,58944,Res,Medical Staff
894,67422,Res,Medical Staff
895,77839,Res,Medical Staff
896,69177,MD,Medical Staff
897,25860,Res,Medical Staff
898,42493,MD,Medical Staff
899,39451,RT,Medical Staff
900,18392,MD,Medical Staff
901,54313,RN,Medical Staff
902,12757,Res,Medical Staff
903,87110,Res,Medical Staff
904,82603,RN,Medical Staff
905,40161,MD,Medical Staff
906,87128,RN,Medical Staff
907,38864,Res,Medical Staff
908,10942,RO,Medical Staff
909,19305,Res,Medical Staff
910,92719,Res,Medical Staff
911,17716,MD,Medical Staff
912,40007,MD,Medical Staff
913,18834,RT,Medical Staff
914,14117,Res,Medical Staff
915,53309,Res,Medical Staff
916,19287,RT,Medical Staff
917,77391,Res,Medical Staff
918,41195,DI,Medical Staff
919,46500,MD,Medical Staff
920,97684,Res,Medical Staff
921,73624,MS,Medical Staff
